sunday,asset,tz,price_09,max_offset_min,price_12,pct_12,price_13,pct_13,price_14,pct_14,price_15,pct_15,price_16,pct_16,price_17,pct_17,price_18,pct_18,price_19,pct_19,price_20,pct_20,price_21,pct_21,price_22,pct_22,price_23,pct_23,price_24,pct_24
2025-07-20,BTC,EDT,118131.0000,0,118746.0000,0.5206,118589.0000,0.3877,118155.0000,0.0203,118406.0000,0.2328,118218.0000,0.0736,118137.0000,0.0051,118062.0000,-0.0584,117561.0000,-0.4825,117220.0000,-0.7712,117407.0000,-0.6129,117378.0000,-0.6374,118241.0000,0.0931,118450.0000,0.2700
2025-07-20,SOL,EDT,181.7800,0,181.9700,0.1045,182.1000,0.1760,180.5800,-0.6601,182.2500,0.2586,182.0000,0.1210,181.2500,-0.2916,182.3100,0.2916,180.5100,-0.6986,181.4400,-0.1870,180.2300,-0.8527,180.0900,-0.9297,184.3400,1.4083,186.7100,2.7121
2025-07-27,BTC,EDT,118167.0000,0,118626.0000,0.3884,119118.0000,0.8048,119246.0000,0.9131,119073.0000,0.7667,119008.0000,0.7117,118802.0000,0.5374,119296.0000,0.9554,119544.0000,1.1653,119514.0000,1.1399,119269.0000,0.9326,119077.0000,0.7701,119464.0000,1.0976,119305.0000,0.9630
2025-07-27,SOL,EDT,186.4200,0,186.4800,0.0322,187.6700,0.6705,188.0700,0.8851,188.3900,1.0568,186.9200,0.2682,187.1300,0.3809,187.9600,0.8261,188.9300,1.3464,188.6400,1.1909,189.7100,1.7648,188.3100,1.0138,191.5600,2.7572,193.3400,3.7120
2025-08-03,BTC,EDT,114017.0000,0,113950.0000,-0.0588,114001.0000,-0.0140,114128.0000,0.0974,114398.0000,0.3342,114315.0000,0.2614,114412.0000,0.3464,114462.0000,0.3903,114319.0000,0.2649,114245.0000,0.2000,114907.0000,0.7806,114679.0000,0.5806,114820.0000,0.7043,114596.0000,0.5078
2025-08-03,SOL,EDT,161.8100,0,162.1000,0.1792,162.1900,0.2348,162.1600,0.2163,161.9700,0.0989,161.6400,-0.1051,161.4700,-0.2101,162.0300,0.1360,161.9200,0.0680,161.9800,0.1051,164.5600,1.6995,163.3400,0.9456,164.3300,1.5574,162.9800,0.7231
2025-08-10,BTC,EDT,118511.0000,0,118817.0000,0.2582,118663.0000,0.1283,118509.0000,-0.0017,118555.0000,0.0371,118675.0000,0.1384,118341.0000,-0.1434,118725.0000,0.1806,119067.0000,0.4692,119312.0000,0.6759,119148.0000,0.5375,119999.0000,1.2556,121876.0000,2.8394,121705.0000,2.6951
2025-08-10,SOL,EDT,179.5300,0,181.5400,1.1196,182.2600,1.5206,181.6800,1.1976,182.7100,1.7713,182.8000,1.8214,182.7400,1.7880,183.5000,2.2113,183.1400,2.0108,182.6700,1.7490,181.5000,1.0973,183.7000,2.3227,185.2600,3.1917,185.1300,3.1193
2025-08-17,BTC,EDT,118221.0000,0,118318.0000,0.0820,117877.0000,-0.2910,117975.0000,-0.2081,117612.0000,-0.5151,117633.0000,-0.4974,117699.0000,-0.4415,117777.0000,-0.3756,118033.0000,-0.1590,117465.0000,-0.6395,117373.0000,-0.7173,116307.0000,-1.6190,115532.0000,-2.2746,115388.0000,-2.3964
2025-08-17,SOL,EDT,192.2300,0,195.4800,1.6907,193.2200,0.5150,193.3800,0.5982,192.1100,-0.0624,191.1700,-0.5514,191.1200,-0.5774,191.2400,-0.5150,193.1000,0.4526,191.0000,-0.6399,190.1600,-1.0768,186.5300,-2.9652,183.9400,-4.3125,182.6700,-4.9732
